device_id,vehicle_id,vehicle_type,etat,etat_libelle,battery_pct,derniere_maj,geo_point_2d
c40db9b4-885f-6e66-c2b6-d2c5fa5d3100,GD675VP,moped,available,Disponible,25,2026-06-30T12:22:01,"48.82061,2.2637"
36386821-f6e0-7cc0-6c52-c49f9b49bd26,GG408RM,moped,available,Disponible,74,2026-06-30T11:28:24,"48.82015,2.26709"
568cc69b-1064-005c-3985-c3cf3f76be1d,GE602MB,moped,on_trip,En course,82,2026-06-30T06:52:47,"48.79996,2.23882"
080aadfb-e7c9-9b26-1141-25c63a9bedd4,EB526ML,moped,available,Disponible,67,2026-06-30T06:21:36,"48.84009,2.24349"
e1e3db63-ef7d-dc76-b92d-a22b21df306f,EE803VM,moped,available,Disponible,90,2026-06-30T09:24:41,"48.83017,2.23568"
693dffbc-6c6f-a611-5ab3-3edf6e595ed3,EA689JB,moped,available,Disponible,46,2026-06-30T09:07:22,"48.82938,2.23666"
310c0c00-3fa7-f104-1bf9-0e27dc96925e,GX143TE,moped,on_trip,En course,76,2026-06-28T07:11:13,"48.83465,2.24184"
ceda8bbb-7171-0434-134c-6c92ec5b227c,GA667YB,moped,on_trip,En course,68,2026-06-30T09:49:48,"48.82805,2.28858"
680ac07a-2a93-5d62-3c83-5dc0d9441fa5,EX218TB,moped,non_operational,Hors service,9,2026-06-30T11:41:20,"48.84203,2.23876"
c8b8d9c6-ed30-49cf-43e4-58fc63f2ae24,EG433YR,moped,non_operational,Hors service,7,2026-06-30T10:50:53,"48.8361,2.24104"
0ef8c2d6-f7fd-5646-37bb-3eec4bf50b52,GS058FP,moped,reserved,Réservé,88,2026-06-29T13:10:54,"48.82067,2.17388"
f5f59b22-0e8f-a8e0-284d-82e587f7e1fb,GD070JR,moped,available,Disponible,96,2026-06-30T11:45:02,"48.81732,2.26761"
3f07f814-91d6-3f78-e3e9-de99f10c718b,GB429YL,moped,available,Disponible,59,2026-06-30T12:22:56,"48.82994,2.24033"
43ff5011-3d1a-85dd-506e-5a9ab758588d,ED687PM,moped,available,Disponible,74,2026-06-30T08:19:00,"48.8228,2.20741"
9f044aed-7552-3327-0262-7f7312922f83,GB550MP,moped,available,Disponible,27,2026-06-30T10:53:48,"48.8254,2.28516"
3e896c64-e117-dac3-119c-4ea3e1805081,EG161VP,moped,non_operational,Hors service,10,2026-06-30T07:01:54,"48.80634,2.23796"
8768a84f-a76a-fde6-ce9e-1a11fcbb4e59,GG954JE,moped,available,Disponible,72,2026-06-30T09:52:20,"48.82048,2.16957"
45b89cd9-27cb-6f2a-8da0-1097be0f051b,EE734RE,moped,available,Disponible,99,2026-06-30T08:21:55,"48.80793,2.18744"
e7c421c7-4049-7b71-7d10-6c6081627cf1,GB649TL,moped,available,Disponible,86,2026-06-30T09:57:37,"48.84147,2.24481"
430f801d-fad4-09e2-a319-dcb4217d65a0,GX564TP,moped,on_trip,En course,44,2026-06-29T14:24:34,"48.82798,2.24471"
26286bfb-e767-dcea-b0e6-a969e21342b0,GS596YE,moped,on_trip,En course,52,2026-06-30T11:41:15,"48.84032,2.23852"
cbceabde-eede-db07-e623-a6895d59cd2a,GS215MR,moped,available,Disponible,74,2026-06-30T09:23:00,"48.82591,2.20328"
f94d6204-6808-593f-dfed-2c43e256a6dc,GE885LE,moped,on_trip,En course,24,2026-06-30T10:31:14,"48.83071,2.24885"
c84a7b28-550a-1b46-ecab-3301bc8f7d29,EE273LR,moped,available,Disponible,58,2026-06-30T09:08:39,"48.83003,2.18199"
33173470-38f1-6a81-787f-2425dbccc477,ES312ME,moped,reserved,Réservé,35,2026-06-30T10:10:11,"48.83299,2.23954"
11c58ef0-dd46-3c09-4752-87aa5408f9ac,ES656YM,moped,available,Disponible,31,2026-06-30T09:29:14,"48.8151,2.1928"
1d870966-0710-d430-f071-d87954c63cd8,ED594PB,moped,available,Disponible,27,2026-06-29T08:39:42,"48.8233,2.26773"
6fb78271-504d-281f-c953-5b63ba81edd9,GW921ML,moped,available,Disponible,82,2026-06-29T11:42:20,"48.83008,2.27483"
89d7fd6c-ce77-7f00-ecf2-7e7685197ff4,GS441JR,moped,available,Disponible,32,2026-06-30T09:47:20,"48.81228,2.22867"
b841d0a0-1fe7-71d6-d917-8793a9d3c2e6,EG682TL,moped,available,Disponible,41,2026-06-30T09:07:24,"48.83118,2.23335"
aa38d0a1-6ba2-5efe-311c-6eb62095eef6,ED630PM,moped,available,Disponible,52,2026-06-30T08:41:23,"48.83308,2.23412"
c9277d9b-6e0d-2648-35ce-884149732d6c,EX452VR,moped,non_operational,Hors service,12,2026-06-30T08:24:06,"48.81964,2.2677"
bc67f831-cbc8-4759-f5b7-8cc7e6b3c944,GB290YR,moped,available,Disponible,28,2026-06-30T06:37:36,"48.83945,2.24803"
3c20592f-c04a-96c4-f3b6-3fe1d1843324,EE825ME,moped,available,Disponible,57,2026-06-30T10:27:00,"48.82918,2.23978"
c4bbb7a9-d988-68dd-9c7c-737779a28903,GX424MR,moped,available,Disponible,65,2026-06-30T13:36:41,"48.81743,2.2749"
b00805cc-a7f3-6ae9-25c7-3c443e75c3b4,GB797TE,moped,available,Disponible,91,2026-06-30T08:04:11,"48.8219,2.29277"
8eb22579-0cdb-1ca4-76ec-bdd68498e113,GB467LM,moped,reserved,Réservé,86,2026-06-30T11:30:57,"48.82359,2.17256"
c1581092-f335-cba3-513a-7052986f9025,EW850YM,moped,available,Disponible,89,2026-06-30T13:02:55,"48.82177,2.20942"
c074718e-425a-609f-7337-c59979844388,GG784YM,moped,available,Disponible,44,2026-06-30T10:00:20,"48.83955,2.24659"
3c07c574-4925-7af1-b6aa-e05b13d5f2f7,ES327YB,moped,on_trip,En course,54,2026-06-30T06:19:15,"48.82801,2.23301"
36c59dac-b4d7-e28e-271e-3ee2b1a6b1f1,GW417RP,moped,available,Disponible,50,2026-06-29T11:03:46,"48.83896,2.24254"
e7a37e81-63b4-c08b-6b8e-869fd5385b0e,GW488FL,moped,available,Disponible,91,2026-06-30T10:49:34,"48.81666,2.2646"
6b44fa8d-d5f2-5073-f414-02b1e4429ebb,GX224PM,moped,available,Disponible,97,2026-06-30T11:13:43,"48.83089,2.27735"
