provider_name,provider_id,device_id,vehicle_id,vehicle_type,propulsion_types,last_event_time,last_vehicle_state,last_event_types,current_location,battery_pct
YEGO,da99028e-28b7-4dd3-ad23-41b7a045db8a,3f22faf8-23be-d01d-43cf-2fde24933b83,EW919TL,moped,[electric],1782796794000,available,[trip_end],"{""type"":""Point"",""coordinates"":[2.16291,48.82711]}",0.44
YEGO,da99028e-28b7-4dd3-ad23-41b7a045db8a,c17af08a-1745-d6d8-7e57-0ddf827050a8,GB156LR,moped,[electric],1782849600000,available,[trip_end],"{""type"":""Point"",""coordinates"":[2.23358,48.83477]}",0.98
YEGO,da99028e-28b7-4dd3-ad23-41b7a045db8a,77d21e02-ff01-cf99-988c-24c961b1cd22,EA696JR,moped,[electric],1782808539000,available,[trip_end],"{""type"":""Point"",""coordinates"":[2.21395,48.8265]}",0.31
YEGO,da99028e-28b7-4dd3-ad23-41b7a045db8a,1c8eaee9-5715-bd6f-a416-1293c4c2e2e3,EW161VB,moped,[electric],1782799033000,available,[trip_end],"{""type"":""Point"",""coordinates"":[2.17382,48.82588]}",0.55
YEGO,da99028e-28b7-4dd3-ad23-41b7a045db8a,c30ff46e-8026-695f-f8cd-a88b436d76e2,GB891PR,moped,[electric],1782800277000,non_operational,[battery_low],"{""type"":""Point"",""coordinates"":[2.24103,48.83465]}",0.11
YEGO,da99028e-28b7-4dd3-ad23-41b7a045db8a,8a14be62-295b-4715-c333-e8615fb8d16c,GS500FB,moped,[electric],1782802353000,reserved,[reservation_start],"{""type"":""Point"",""coordinates"":[2.17448,48.81836]}",0.34
YEGO,da99028e-28b7-4dd3-ad23-41b7a045db8a,3d4cbf37-4eb9-3eff-ce88-cb2dd4e80839,GE899JB,moped,[electric],1782796658000,available,[trip_end],"{""type"":""Point"",""coordinates"":[2.1811,48.81494]}",0.6
YEGO,da99028e-28b7-4dd3-ad23-41b7a045db8a,c40db9b4-885f-6e66-c2b6-d2c5fa5d3100,GD675VP,moped,[electric],1782814921000,available,[trip_end],"{""type"":""Point"",""coordinates"":[2.2637,48.82061]}",0.25
YEGO,da99028e-28b7-4dd3-ad23-41b7a045db8a,36386821-f6e0-7cc0-6c52-c49f9b49bd26,GG408RM,moped,[electric],1782811704000,available,[trip_end],"{""type"":""Point"",""coordinates"":[2.26709,48.82015]}",0.74
YEGO,da99028e-28b7-4dd3-ad23-41b7a045db8a,568cc69b-1064-005c-3985-c3cf3f76be1d,GE602MB,moped,[electric],1782795167000,on_trip,[trip_start],"{""type"":""Point"",""coordinates"":[2.23882,48.79996]}",0.82
YEGO,da99028e-28b7-4dd3-ad23-41b7a045db8a,080aadfb-e7c9-9b26-1141-25c63a9bedd4,EB526ML,moped,[electric],1782793296000,available,[trip_end],"{""type"":""Point"",""coordinates"":[2.24349,48.84009]}",0.67
YEGO,da99028e-28b7-4dd3-ad23-41b7a045db8a,e1e3db63-ef7d-dc76-b92d-a22b21df306f,EE803VM,moped,[electric],1782804281000,available,[trip_end],"{""type"":""Point"",""coordinates"":[2.23568,48.83017]}",0.9
YEGO,da99028e-28b7-4dd3-ad23-41b7a045db8a,693dffbc-6c6f-a611-5ab3-3edf6e595ed3,EA689JB,moped,[electric],1782803242000,available,[trip_end],"{""type"":""Point"",""coordinates"":[2.23666,48.82938]}",0.46
YEGO,da99028e-28b7-4dd3-ad23-41b7a045db8a,310c0c00-3fa7-f104-1bf9-0e27dc96925e,GX143TE,moped,[electric],1782623473000,on_trip,[trip_start],"{""type"":""Point"",""coordinates"":[2.24184,48.83465]}",0.76
YEGO,da99028e-28b7-4dd3-ad23-41b7a045db8a,ceda8bbb-7171-0434-134c-6c92ec5b227c,GA667YB,moped,[electric],1782805788000,on_trip,[trip_start],"{""type"":""Point"",""coordinates"":[2.28858,48.82805]}",0.68
YEGO,da99028e-28b7-4dd3-ad23-41b7a045db8a,680ac07a-2a93-5d62-3c83-5dc0d9441fa5,EX218TB,moped,[electric],1782812480000,non_operational,[battery_low],"{""type"":""Point"",""coordinates"":[2.23876,48.84203]}",0.09
YEGO,da99028e-28b7-4dd3-ad23-41b7a045db8a,c8b8d9c6-ed30-49cf-43e4-58fc63f2ae24,EG433YR,moped,[electric],1782809453000,non_operational,[battery_low],"{""type"":""Point"",""coordinates"":[2.24104,48.8361]}",0.07
YEGO,da99028e-28b7-4dd3-ad23-41b7a045db8a,0ef8c2d6-f7fd-5646-37bb-3eec4bf50b52,GS058FP,moped,[electric],1782731454000,reserved,[reservation_start],"{""type"":""Point"",""coordinates"":[2.17388,48.82067]}",0.88
YEGO,da99028e-28b7-4dd3-ad23-41b7a045db8a,f5f59b22-0e8f-a8e0-284d-82e587f7e1fb,GD070JR,moped,[electric],1782812702000,available,[trip_end],"{""type"":""Point"",""coordinates"":[2.26761,48.81732]}",0.96
YEGO,da99028e-28b7-4dd3-ad23-41b7a045db8a,3f07f814-91d6-3f78-e3e9-de99f10c718b,GB429YL,moped,[electric],1782814976000,available,[trip_end],"{""type"":""Point"",""coordinates"":[2.24033,48.82994]}",0.59
YEGO,da99028e-28b7-4dd3-ad23-41b7a045db8a,43ff5011-3d1a-85dd-506e-5a9ab758588d,ED687PM,moped,[electric],1782800340000,available,[trip_end],"{""type"":""Point"",""coordinates"":[2.20741,48.8228]}",0.74
YEGO,da99028e-28b7-4dd3-ad23-41b7a045db8a,9f044aed-7552-3327-0262-7f7312922f83,GB550MP,moped,[electric],1782809628000,available,[trip_end],"{""type"":""Point"",""coordinates"":[2.28516,48.8254]}",0.27
YEGO,da99028e-28b7-4dd3-ad23-41b7a045db8a,3e896c64-e117-dac3-119c-4ea3e1805081,EG161VP,moped,[electric],1782795714000,non_operational,[battery_low],"{""type"":""Point"",""coordinates"":[2.23796,48.80634]}",0.1
YEGO,da99028e-28b7-4dd3-ad23-41b7a045db8a,8768a84f-a76a-fde6-ce9e-1a11fcbb4e59,GG954JE,moped,[electric],1782805940000,available,[trip_end],"{""type"":""Point"",""coordinates"":[2.16957,48.82048]}",0.72
YEGO,da99028e-28b7-4dd3-ad23-41b7a045db8a,45b89cd9-27cb-6f2a-8da0-1097be0f051b,EE734RE,moped,[electric],1782800515000,available,[trip_end],"{""type"":""Point"",""coordinates"":[2.18744,48.80793]}",0.99
YEGO,da99028e-28b7-4dd3-ad23-41b7a045db8a,e7c421c7-4049-7b71-7d10-6c6081627cf1,GB649TL,moped,[electric],1782806257000,available,[trip_end],"{""type"":""Point"",""coordinates"":[2.24481,48.84147]}",0.86
YEGO,da99028e-28b7-4dd3-ad23-41b7a045db8a,430f801d-fad4-09e2-a319-dcb4217d65a0,GX564TP,moped,[electric],1782735874000,on_trip,[trip_start],"{""type"":""Point"",""coordinates"":[2.24471,48.82798]}",0.44
YEGO,da99028e-28b7-4dd3-ad23-41b7a045db8a,26286bfb-e767-dcea-b0e6-a969e21342b0,GS596YE,moped,[electric],1782812475000,on_trip,[trip_start],"{""type"":""Point"",""coordinates"":[2.23852,48.84032]}",0.52
YEGO,da99028e-28b7-4dd3-ad23-41b7a045db8a,cbceabde-eede-db07-e623-a6895d59cd2a,GS215MR,moped,[electric],1782804180000,available,[trip_end],"{""type"":""Point"",""coordinates"":[2.20328,48.82591]}",0.74
YEGO,da99028e-28b7-4dd3-ad23-41b7a045db8a,f94d6204-6808-593f-dfed-2c43e256a6dc,GE885LE,moped,[electric],1782808274000,on_trip,[trip_start],"{""type"":""Point"",""coordinates"":[2.24885,48.83071]}",0.24
YEGO,da99028e-28b7-4dd3-ad23-41b7a045db8a,c84a7b28-550a-1b46-ecab-3301bc8f7d29,EE273LR,moped,[electric],1782803319000,available,[trip_end],"{""type"":""Point"",""coordinates"":[2.18199,48.83003]}",0.58
YEGO,da99028e-28b7-4dd3-ad23-41b7a045db8a,33173470-38f1-6a81-787f-2425dbccc477,ES312ME,moped,[electric],1782807011000,reserved,[reservation_start],"{""type"":""Point"",""coordinates"":[2.23954,48.83299]}",0.35
YEGO,da99028e-28b7-4dd3-ad23-41b7a045db8a,11c58ef0-dd46-3c09-4752-87aa5408f9ac,ES656YM,moped,[electric],1782804554000,available,[trip_end],"{""type"":""Point"",""coordinates"":[2.1928,48.8151]}",0.31
YEGO,da99028e-28b7-4dd3-ad23-41b7a045db8a,1d870966-0710-d430-f071-d87954c63cd8,ED594PB,moped,[electric],1782715182000,available,[trip_end],"{""type"":""Point"",""coordinates"":[2.26773,48.8233]}",0.27
YEGO,da99028e-28b7-4dd3-ad23-41b7a045db8a,6fb78271-504d-281f-c953-5b63ba81edd9,GW921ML,moped,[electric],1782726140000,available,[trip_end],"{""type"":""Point"",""coordinates"":[2.27483,48.83008]}",0.82
YEGO,da99028e-28b7-4dd3-ad23-41b7a045db8a,89d7fd6c-ce77-7f00-ecf2-7e7685197ff4,GS441JR,moped,[electric],1782805640000,available,[trip_end],"{""type"":""Point"",""coordinates"":[2.22867,48.81228]}",0.32
YEGO,da99028e-28b7-4dd3-ad23-41b7a045db8a,b841d0a0-1fe7-71d6-d917-8793a9d3c2e6,EG682TL,moped,[electric],1782803244000,available,[trip_end],"{""type"":""Point"",""coordinates"":[2.23335,48.83118]}",0.41
YEGO,da99028e-28b7-4dd3-ad23-41b7a045db8a,aa38d0a1-6ba2-5efe-311c-6eb62095eef6,ED630PM,moped,[electric],1782801683000,available,[trip_end],"{""type"":""Point"",""coordinates"":[2.23412,48.83308]}",0.52
YEGO,da99028e-28b7-4dd3-ad23-41b7a045db8a,c9277d9b-6e0d-2648-35ce-884149732d6c,EX452VR,moped,[electric],1782800646000,non_operational,[battery_low],"{""type"":""Point"",""coordinates"":[2.2677,48.81964]}",0.12
YEGO,da99028e-28b7-4dd3-ad23-41b7a045db8a,bc67f831-cbc8-4759-f5b7-8cc7e6b3c944,GB290YR,moped,[electric],1782794256000,available,[trip_end],"{""type"":""Point"",""coordinates"":[2.24803,48.83945]}",0.28
YEGO,da99028e-28b7-4dd3-ad23-41b7a045db8a,3c20592f-c04a-96c4-f3b6-3fe1d1843324,EE825ME,moped,[electric],1782808020000,available,[trip_end],"{""type"":""Point"",""coordinates"":[2.23978,48.82918]}",0.57
YEGO,da99028e-28b7-4dd3-ad23-41b7a045db8a,c4bbb7a9-d988-68dd-9c7c-737779a28903,GX424MR,moped,[electric],1782819401000,available,[trip_end],"{""type"":""Point"",""coordinates"":[2.2749,48.81743]}",0.65
YEGO,da99028e-28b7-4dd3-ad23-41b7a045db8a,b00805cc-a7f3-6ae9-25c7-3c443e75c3b4,GB797TE,moped,[electric],1782799451000,available,[trip_end],"{""type"":""Point"",""coordinates"":[2.29277,48.8219]}",0.91
YEGO,da99028e-28b7-4dd3-ad23-41b7a045db8a,8eb22579-0cdb-1ca4-76ec-bdd68498e113,GB467LM,moped,[electric],1782811857000,reserved,[reservation_start],"{""type"":""Point"",""coordinates"":[2.17256,48.82359]}",0.86
YEGO,da99028e-28b7-4dd3-ad23-41b7a045db8a,c1581092-f335-cba3-513a-7052986f9025,EW850YM,moped,[electric],1782817375000,available,[trip_end],"{""type"":""Point"",""coordinates"":[2.20942,48.82177]}",0.89
YEGO,da99028e-28b7-4dd3-ad23-41b7a045db8a,c074718e-425a-609f-7337-c59979844388,GG784YM,moped,[electric],1782806420000,available,[trip_end],"{""type"":""Point"",""coordinates"":[2.24659,48.83955]}",0.44
YEGO,da99028e-28b7-4dd3-ad23-41b7a045db8a,3c07c574-4925-7af1-b6aa-e05b13d5f2f7,ES327YB,moped,[electric],1782793155000,on_trip,[trip_start],"{""type"":""Point"",""coordinates"":[2.23301,48.82801]}",0.54
YEGO,da99028e-28b7-4dd3-ad23-41b7a045db8a,36c59dac-b4d7-e28e-271e-3ee2b1a6b1f1,GW417RP,moped,[electric],1782723826000,available,[trip_end],"{""type"":""Point"",""coordinates"":[2.24254,48.83896]}",0.5
YEGO,da99028e-28b7-4dd3-ad23-41b7a045db8a,e7a37e81-63b4-c08b-6b8e-869fd5385b0e,GW488FL,moped,[electric],1782809374000,available,[trip_end],"{""type"":""Point"",""coordinates"":[2.2646,48.81666]}",0.91
YEGO,da99028e-28b7-4dd3-ad23-41b7a045db8a,6b44fa8d-d5f2-5073-f414-02b1e4429ebb,GX224PM,moped,[electric],1782810823000,available,[trip_end],"{""type"":""Point"",""coordinates"":[2.27735,48.83089]}",0.97
